,State,Status,Name,NameLink,Party,Twitter,TwitterLink,Instagram,InstagramLink,Facebook,FacebookLink
0,Wisconsin,U.S. Senator,"Baldwin, Tammy",https://www.baldwin.senate.gov/,D,@SenatorBaldwin,https://twitter.com/SenatorBaldwin?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorbaldwin,https://www.instagram.com/senatorbaldwin/?hl=en,x,https://www.facebook.com/senatortammybaldwin
1,Wyoming,U.S. Senator,"Barrasso, John",https://www.barrasso.senate.gov/public/,R,@SenJohnBarrasso,https://twitter.com/SenJohnBarrasso?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senjohnbarrasso,https://www.instagram.com/senjohnbarrasso/?hl=en,x,https://www.facebook.com/johnbarrasso
2,Colorado,U.S. Senator,"Bennet, Michael",https://www.bennet.senate.gov/,D,@MichaelBennet,https://twitter.com/michaelbennet?lang=en,@senatorbennet,https://www.instagram.com/senatorbennet/?hl=en,x,https://www.facebook.com/senbennetco/
3,Tennessee,U.S. Senator,"Blackburn, Marsha",https://www.blackburn.senate.gov/,R,@MarshaBlackburn,https://twitter.com/MarshaBlackburn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@marshablackburn,https://www.instagram.com/marshablackburn/?hl=en,x,https://www.facebook.com/marshablackburn/
4,Connecticut,U.S. Senator,"Blumenthal, Richard",https://www.blumenthal.senate.gov/,D,@SenBlumenthal,https://twitter.com/SenBlumenthal?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senblumenthal,https://www.instagram.com/senblumenthal/?hl=en,x,https://www.facebook.com/SenBlumenthal
5,Missouri,U.S. Senator,"Blunt, Roy",https://www.blunt.senate.gov/,R,@RoyBlunt,https://twitter.com/RoyBlunt?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@royblunt,https://www.instagram.com/royblunt/?hl=en,x,https://www.facebook.com/SenatorBlunt
6,New Jersey,U.S. Senator,"Booker, Cory",https://www.booker.senate.gov/,D,@CoryBooker,https://twitter.com/CoryBooker?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@corybooker,https://www.instagram.com/corybooker/?hl=en,x,https://www.facebook.com/corybooker
7,Arkansas,U.S. Senator,"Boozman, John",https://www.boozman.senate.gov/public/,R,@JohnBoozman,https://twitter.com/JohnBoozman?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@johnboozman,https://www.instagram.com/johnboozman/?hl=en,x,https://www.facebook.com/JohnBoozman 
8,Indiana,U.S. Senator,"Braun, Mike",https://www.braun.senate.gov/,R,@Braun4Indiana,https://twitter.com/braun4indiana?lang=en,@senatorbraun,https://www.instagram.com/senatorbraun/,x,https://www.facebook.com/mikebraunforindiana/
9,Ohio,U.S. Senator,"Brown, Sherrod",https://www.brown.senate.gov/,D,@SenSherrodBrown,,@sensherrodbrown,https://www.instagram.com/sensherrodbrown/?hl=en,x,https://www.facebook.com/sherrod
10,North Carolina,U.S. Senator,"Burr, Richard",https://www.burr.senate.gov/,R,@SenatorBurr,https://twitter.com/senatorburr?lang=en,@senatorburr,https://www.instagram.com/senatorburr/?hl=en,x,https://www.facebook.com/SenatorRichardBurr
11,Washington,U.S. Senator,"Cantwell, Maria",https://www.cantwell.senate.gov/,D,@SenatorCantwell,https://twitter.com/SenatorCantwell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatormariacantwell,https://www.instagram.com/senatormariacantwell/?hl=en,x,https://www.facebook.com/senatorcantwell
12,West Virginia,U.S. Senator,"Moore Capito, Shelley",https://www.capito.senate.gov/,R,@SenCapito,https://twitter.com/SenCapito?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@sencapito,https://www.instagram.com/sencapito/?hl=en,x,https://www.facebook.com/senshelley
13,Maryland,U.S. Senator,"Cardin, Benjamin",https://www.cardin.senate.gov/,D,@SenatorCardin,https://twitter.com/SenatorCardin?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorcardin,https://www.instagram.com/senatorcardin/?hl=en,x,https://www.facebook.com/senatorbencardin
14,Delaware,U.S. Senator,"Carper, Tom",https://www.carper.senate.gov/public/,D,@SenatorCarper,https://twitter.com/SenatorCarper?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorcarper,https://www.instagram.com/senatorcarper/?hl=en,x,https://www.facebook.com/tomcarper
15,Pennsylvania,U.S. Senator,"Casey, Bob Jr.",https://www.casey.senate.gov/,D,@SenBobCasey,https://twitter.com/SenBobCasey?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senbobcasey,https://www.instagram.com/senbobcasey/?hl=en,x,https://www.facebook.com/SenatorBobCasey
16,Louisiana,U.S. Senator,"Cassidy, Bill",https://www.cassidy.senate.gov/,R,@BillCassidy,https://twitter.com/BillCassidy?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,x,https://www.facebook.com/billcassidy
17,Maine,U.S. Senator,"Collins, Susan",https://www.collins.senate.gov/,R,@SenatorCollins,https://twitter.com/SenatorCollins?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@sensusancollins,https://www.instagram.com/sensusancollins/?hl=en,x,https://www.facebook.com/susancollins
18,Delaware,U.S. Senator,"Coons, Chris",https://www.coons.senate.gov/,D,@SenCoonsOffice,https://twitter.com/sencoonsoffice?lang=en,@senatorchriscoon,https://www.instagram.com/senatorchriscoons/?hl=en,x,https://www.facebook.com/chriscoons
19,Texas,U.S. Senator,"Cornyn, John",https://www.cornyn.senate.gov/,R,@JohnCornyn,https://twitter.com/JohnCornyn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@johncornyn,https://www.instagram.com/johncornyn/?hl=en,x,https://www.facebook.com/Sen.JohnCornyn
20,Arkansas,U.S. Senator,"Cotton, Tom",https://www.tomcotton.com/,R,@SenTomCotton,https://twitter.com/SenTomCotton?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@tomcottonar,https://www.instagram.com/tomcottonar/?hl=en,x,https://www.facebook.com/SenatorTomCotton
21,North Dakota,U.S. Senator,"Cramer, Kevin",https://www.cramer.senate.gov/,R,@SenKevinCramer,https://twitter.com/SenKevinCramer?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorkevincramer,https://www.instagram.com/senatorkevincramer/?hl=en,x,https://www.facebook.com/SenatorKevinCramer/
22,Idaho,U.S. Senator,"Crapo, Mike",https://www.crapo.senate.gov/,R,@MikeCrapo,https://twitter.com/MikeCrapo?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@mikecrapo,https://www.instagram.com/mikecrapo/?hl=en,x,https://www.facebook.com/mikecrapo
23,Texas,U.S. Senator,"Cruz, Ted",https://www.cruz.senate.gov/,R,@SenTedCruz,https://twitter.com/SenTedCruz?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@sentedcruz,https://www.instagram.com/sentedcruz/?hl=en,x,https://www.facebook.com/SenatorTedCruz
24,Montana,U.S. Senator,"Daines, Steve",https://www.daines.senate.gov/,R,@SteveDaines,https://twitter.com/SteveDaines?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@stevedaines,https://www.instagram.com/stevedaines/?hl=en,x,https://www.facebook.com/SteveDainesMT
25,Illinois,U.S. Senator,"Durbin, Richard",https://www.durbin.senate.gov/,D,@SenatorDurbin,https://twitter.com/SenatorDurbin?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@durbincampaign,https://www.instagram.com/durbincampaign/?hl=en,x,https://www.facebook.com/SenatorDurbin
26,Iowa,U.S. Senator,Joni Ernst,https://www.ernst.senate.gov/public/,R,@SenJoniErnst,https://twitter.com/SenJoniErnst?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senjoniernst,https://www.instagram.com/senjoniernst/?hl=en,x,https://www.facebook.com/senjoniernst
27,California,U.S. Senator,"Feinstein, Dianne",https://www.feinstein.senate.gov/public/,D,@SenFeinstein,https://twitter.com/SenFeinstein,,,x,https://www.facebook.com/SenatorFeinstein
28,Nebraska,U.S. Senator,"Fischer, Deb",https://www.fischer.senate.gov/public/,R,@SenatorFischer,https://twitter.com/SenatorFischer?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorfischer,https://www.instagram.com/senatorfischer/?hl=en,x,https://www.facebook.com/senatordebfischer
29,New York,U.S. Senator,"Gillibrand, Kirsten",https://www.gillibrand.senate.gov/,D,@SenGillibrand,https://twitter.com/SenGillibrand?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@kirstengillibrand,https://www.instagram.com/kirstengillibrand/?hl=en,x,https://www.facebook.com/KirstenGillibrand
30,South Carolina,U.S. Senator,"Graham, Lindsey",https://www.lgraham.senate.gov/public/,R,@LindsayGrahamSC,https://twitter.com/LindseyGrahamSC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@lindseygrahamsc,https://www.instagram.com/lindseygrahamsc/?hl=en,x,https://www.facebook.com/USSenatorLindseyGraham
