Book,Start,End,Section,Genre,url
Genesis,1:1,50:26,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Genesis.txt
Exodus,1:1,40:38,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Exodus.txt
Leviticus,1:1,27:34,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Leviticus.txt
Numbers,1:1,36:13,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Numbers.txt
Deuteronomy,1:1,34:12,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Deuteronomy.txt
Joshua,1:1,24:33,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Joshua.txt
Judges,1:1,21:25,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Judges.txt
Ruth,1:1,4:22,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Ruth.txt
1 Samuel,1:1,31:13,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/1%20Samuel.txt
2 Samuel,1:1,24:25,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/2%20Samuel.txt
1 Kings,1:1,22:53,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/1%20Kings.txt
2 Kings,1:1,25:30,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/2%20Kings.txt
1 Chronicles,1:1,29:30,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/1%20Chronicles.txt
2 Chronicles,1:1,36:23,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/2%20Chronicles.txt
Ezra,1:1,10:44,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Ezra.txt
Nehemiah,1:1,13:31,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Nehemiah.txt
Esther,1:1,10:3,Old Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Esther.txt
Job,1:1,42:17,Old Testament,Wisdom,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Job.txt
Psalm,1:1,150:6,Old Testament,Poetry,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Psalm.txt
Proverbs,1:1,31:31,Old Testament,Wisdom,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Proverbs.txt
Ecclesiastes,1:1,12:14,Old Testament,Wisdom,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Ecclesiastes.txt
Song of Solomon,1:1,8:14,Old Testament,Poetry,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Song%20of%20Solomon.txt
Isaiah,1:1,66:24,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Isaiah.txt
Jeremiah,1:1,52:34,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Jeremiah.txt
Lamentations,1:1,5:22,Old Testament,Poetry,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Lamentations.txt
Ezekiel,1:1,48:35,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Ezekiel.txt
Daniel,1:1,12:13,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Daniel.txt
Hosea,1:1,14:9,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Hosea.txt
Joel,1:1,3:21,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Joel.txt
Amos,1:1,9:15,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Amos.txt
Obadiah,1,21,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Obadiah.txt
Jonah,1:1,4:11,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Jonah.txt
Micah,1:1,7:20,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Micah.txt
Nahum,1:1,3:19,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Nahum.txt
Habakkuk,1:1,3:19,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Habakkuk.txt
Zephaniah,1:1,3:20,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Zephaniah.txt
Haggai,1:1,2:23,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Haggai.txt
Zechariah,1:1,14:21,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Zechariah.txt
Malachi,1:1,4:6,Old Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Malachi.txt
Matthew,1:1,28:20,New Testament,Gospel,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Matthew.txt
Mark,1:1,16:20,New Testament,Gospel,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Mark.txt
Luke,1:1,24:53,New Testament,Gospel,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Luke.txt
John,1:1,21:25,New Testament,Gospel,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/John.txt
Acts,1:1,28:31,New Testament,Narrative,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Acts.txt
Romans,1:1,16:27,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Romans.txt
1 Corinthians,1:1,16:24,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/1%20Corinthians.txt
2 Corinthians,1:1,13:14,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/2%20Corinthians.txt
Galatians,1:1,6:18,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Galatians.txt
Ephesians,1:1,6:24,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Ephesians.txt
Philippians,1:1,4:23,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Philippians.txt
